chapter,place,count,per_1k_chars
1,南京,2,0.28
1,苏州,1,0.14
1,杭州,0,0
1,北京,0,0
1,扬州,0,0
1,济南,2,0.28
1,湖州,0,0
2,南京,0,0
2,苏州,0,0
2,杭州,0,0
2,北京,0,0
2,扬州,0,0
2,济南,0,0
2,湖州,0,0
3,南京,0,0
3,苏州,0,0
3,杭州,0,0
3,北京,0,0
3,扬州,0,0
3,济南,0,0
3,湖州,0,0
4,南京,0,0
4,苏州,0,0
4,杭州,0,0
4,北京,0,0
4,扬州,0,0
4,济南,0,0
4,湖州,0,0
5,南京,0,0
5,苏州,0,0
5,杭州,0,0
5,北京,0,0
5,扬州,0,0
5,济南,0,0
5,湖州,0,0
6,南京,0,0
6,苏州,0,0
6,杭州,0,0
6,北京,0,0
6,扬州,0,0
6,济南,0,0
6,湖州,0,0
7,南京,0,0
7,苏州,0,0
7,杭州,0,0
7,北京,0,0
7,扬州,0,0
7,济南,0,0
7,湖州,0,0
8,南京,0,0
8,苏州,0,0
8,杭州,1,0.16
8,北京,0,0
8,扬州,0,0
8,济南,0,0
8,湖州,2,0.33
9,南京,0,0
9,苏州,0,0
9,杭州,0,0
9,北京,0,0
9,扬州,0,0
9,济南,0,0
9,湖州,1,0.16
10,南京,0,0
10,苏州,0,0
10,杭州,0,0
10,北京,0,0
10,扬州,0,0
10,济南,0,0
10,湖州,0,0
11,南京,0,0
11,苏州,0,0
11,杭州,0,0
11,北京,0,0
11,扬州,0,0
11,济南,0,0
11,湖州,2,0.34
12,南京,0,0
12,苏州,0,0
12,杭州,1,0.16
12,北京,0,0
12,扬州,0,0
12,济南,0,0
12,湖州,3,0.49
13,南京,0,0
13,苏州,0,0
13,杭州,0,0
13,北京,0,0
13,扬州,0,0
13,济南,0,0
13,湖州,2,0.32
14,南京,0,0
14,苏州,0,0
14,杭州,4,0.7
14,北京,0,0
14,扬州,0,0
14,济南,0,0
14,湖州,0,0
15,南京,0,0
15,苏州,0,0
15,杭州,0,0
15,北京,0,0
15,扬州,0,0
15,济南,0,0
15,湖州,0,0
16,南京,0,0
16,苏州,0,0
16,杭州,1,0.17
16,北京,0,0
16,扬州,0,0
16,济南,0,0
16,湖州,0,0
17,南京,0,0
17,苏州,0,0
17,杭州,6,1
17,北京,0,0
17,扬州,0,0
17,济南,0,0
17,湖州,2,0.33
18,南京,0,0
18,苏州,0,0
18,杭州,0,0
18,北京,0,0
18,扬州,0,0
18,济南,0,0
18,湖州,0,0
19,南京,0,0
19,苏州,0,0
19,杭州,0,0
19,北京,0,0
19,扬州,0,0
19,济南,0,0
19,湖州,0,0
20,南京,2,0.37
20,苏州,0,0
20,杭州,2,0.37
20,北京,0,0
20,扬州,3,0.55
20,济南,0,0
20,湖州,0,0